Feature,SHAP_Value,Embedding_Value
Embedding_334,0.0,0.059135176
Embedding_333,0.0,-0.08591209
Embedding_350,0.0,-0.05211754
Embedding_349,0.0,0.09248964
Embedding_348,0.0,0.018075002
Embedding_347,0.0,-0.10644032
Embedding_346,0.0,0.041548755
Embedding_345,0.0,0.0027467906
Embedding_344,0.0,0.035357855
Embedding_343,0.0,0.036948293
Embedding_342,0.0,-0.075971365
Embedding_340,0.0,-0.012255527
Embedding_339,0.0,0.15410632
Embedding_338,0.0,0.113013506
Embedding_337,0.0,0.062486175
Embedding_336,0.0,0.04120978
Embedding_111,0.0,0.0081637725
Embedding_372,0.0,0.034580603
Embedding_371,0.0,-0.08799952
Embedding_370,0.0,0.040379886
Embedding_369,0.0,0.019481637
Embedding_368,0.0,0.028853705
Embedding_363,0.0,-0.00516358
Embedding_361,0.0,-0.02529018
Embedding_360,0.0,-0.012410494
Embedding_359,0.0,-0.13403532
Embedding_357,0.0,-0.02016911
Embedding_356,0.0,-0.04314041
Embedding_355,0.0,0.013637535
Embedding_354,0.0,-0.012540672
Embedding_392,0.0,-0.031835824
Embedding_390,0.0,-0.03577078
Embedding_388,0.0,0.0875055
Embedding_387,0.0,-0.027694874
Embedding_384,0.0,0.056016754
Embedding_383,0.0,0.03120338
Embedding_382,0.0,-0.100015566
Embedding_380,0.0,-0.031149276
Embedding_379,0.0,0.17801279
Embedding_376,0.0,-0.013880841
Embedding_375,0.0,0.057243872
Embedding_374,0.0,0.03516085
Embedding_373,0.0,0.017528452
Embedding_408,0.0,0.027051259
Embedding_407,0.0,-0.019364215
Embedding_406,0.0,0.06141261
Embedding_405,0.0,-0.02922815
Embedding_404,0.0,-0.042396672
Embedding_402,0.0,-0.08604498
Embedding_401,0.0,0.041849848
Embedding_400,0.0,0.07219741
Embedding_399,0.0,0.018284397
Embedding_398,0.0,0.018033367
Embedding_397,0.0,-0.10647757
Embedding_396,0.0,0.017224997
Embedding_394,0.0,0.15688998
Embedding_393,0.0,-0.12114562
Embedding_91,0.0,0.12257012
Embedding_90,0.0,-0.022895217
Embedding_88,0.0,0.044017546
Embedding_87,0.0,-0.02391012
Embedding_86,0.0,0.12379815
Embedding_84,0.0,0.0019559413
Embedding_82,0.0,0.62233657
Embedding_81,0.0,-0.05049113
Embedding_80,0.0,0.031821903
Embedding_415,0.0,0.0005548671
Embedding_414,0.0,0.06770488
Embedding_413,0.0,-0.056082286
Embedding_410,0.0,-0.024604782
Embedding_409,0.0,-0.10788334
Embedding_433,0.0,-0.027691506
Embedding_432,0.0,-0.07118768
Embedding_431,0.0,0.03252217
Embedding_430,0.0,-0.056777403
Embedding_429,0.0,-0.02899959
Embedding_428,0.0,-0.033603393
Embedding_426,0.0,0.023390763
Embedding_425,0.0,0.041129056
Embedding_422,0.0,0.025158927
Embedding_421,0.0,0.0867033
Embedding_418,0.0,-0.11517854
Embedding_417,0.0,-0.00015052687
Embedding_416,0.0,-0.025056131
Embedding_94,0.0,0.11005121
Embedding_93,0.0,0.020028288
Embedding_92,0.0,-0.043043375
Embedding_454,0.0,-0.018280506
Embedding_453,0.0,-0.3382842
Embedding_451,0.0,-0.0015222058
Embedding_27,0.0,0.12277505
Embedding_449,0.0,0.025053252
Embedding_448,0.0,0.0404486
Embedding_446,0.0,0.12870274
Embedding_445,0.0,-0.03857982
Embedding_444,0.0,0.031674698
Embedding_442,0.0,0.050207794
Embedding_441,0.0,-0.0801806
Embedding_438,0.0,-0.089951955
Embedding_437,0.0,-0.011428297
Embedding_436,0.0,-0.014941223
Embedding_435,0.0,0.035208937
Embedding_434,0.0,-0.006249614
Embedding_474,0.0,0.0850808
Embedding_473,0.0,-0.120925635
Embedding_472,0.0,-0.09286974
Embedding_471,0.0,-0.07353468
Embedding_470,0.0,0.091198444
Embedding_469,0.0,-0.065197125
Embedding_467,0.0,-0.029936973
Embedding_25,0.0,0.041519023
Embedding_465,0.0,-0.037123404
Embedding_24,0.0,0.0055008046
Embedding_463,0.0,-0.05501017
Embedding_459,0.0,0.037528146
Embedding_458,0.0,-0.1261699
Embedding_23,0.0,0.109274074
Embedding_456,0.0,0.041070167
Embedding_22,0.0,-0.03232941
Embedding_76,0.0,-0.026125222
Embedding_75,0.0,0.04737065
Embedding_21,0.0,0.035758466
Embedding_73,0.0,0.052362025
Embedding_20,0.0,-0.11795731
Embedding_19,0.0,-0.0374868
Embedding_70,0.0,0.087376386
Embedding_69,0.0,0.09922342
Embedding_68,0.0,-0.030808453
Embedding_66,0.0,-0.034290973
Embedding_65,0.0,-0.07568308
Embedding_64,0.0,0.07648917
Embedding_479,0.0,-0.13268277
Embedding_18,0.0,-0.08122547
Embedding_476,0.0,0.016911453
Embedding_475,0.0,-0.020483218
Embedding_501,0.0,-0.07387318
Embedding_500,0.0,-0.033674434
Embedding_499,0.0,0.0125171505
Embedding_498,0.0,0.05798772
Embedding_497,0.0,-0.017306391
Embedding_495,0.0,0.00038369745
Embedding_17,0.0,-0.014450297
Embedding_492,0.0,0.120972365
Embedding_490,0.0,-0.03262436
Embedding_489,0.0,-0.121026814
Embedding_487,0.0,0.02126326
Embedding_485,0.0,-0.021293864
Embedding_481,0.0,0.07750311
Embedding_480,0.0,-0.05394376
Embedding_79,0.0,0.0009351373
Embedding_77,0.0,0.49865267
Embedding_518,0.0,-0.074887685
Embedding_517,0.0,-0.040753912
Embedding_516,0.0,-0.05567473
Embedding_515,0.0,0.013697457
Embedding_16,0.0,-0.06938784
Embedding_513,0.0,0.030078217
Embedding_512,0.0,0.2031829
Embedding_511,0.0,0.07059628
Embedding_735,0.0,0.020003755
Embedding_509,0.0,0.05747997
Embedding_508,0.0,-0.016000163
Embedding_507,0.0,-0.032404304
Embedding_733,0.0,0.054044858
Embedding_504,0.0,-0.09447235
Embedding_503,0.0,-0.013605423
Embedding_502,0.0,-0.06291276
Embedding_536,0.0,0.105763756
Embedding_535,0.0,0.032402843
Embedding_534,0.0,0.0058790296
Embedding_533,0.0,0.03577072
Embedding_532,0.0,0.109519474
Embedding_531,0.0,-0.06655682
Embedding_530,0.0,0.06915132
Embedding_529,0.0,-0.048468396
Embedding_528,0.0,0.085076965
Embedding_527,0.0,0.005473871
Embedding_732,0.0,0.066085204
Embedding_525,0.0,-0.06308505
Embedding_523,0.0,-0.024518862
Embedding_522,0.0,-0.047316357
Embedding_521,0.0,0.025846837
Embedding_520,0.0,-0.0058641843
Embedding_555,0.0,-0.010978408
Embedding_150,0.0,0.096336275
Embedding_553,0.0,0.14699802
Embedding_149,0.0,0.017010735
Embedding_148,0.0,0.008227009
Embedding_549,0.0,0.029756438
Embedding_548,0.0,0.024670668
Embedding_547,0.0,-0.07008406
Embedding_546,0.0,0.0036926046
Embedding_545,0.0,0.001025293
Embedding_543,0.0,0.018435046
Embedding_542,0.0,0.06915054
Embedding_145,0.0,0.060723945
Embedding_540,0.0,-0.061785914
Embedding_538,0.0,-0.024957143
Embedding_537,0.0,-0.018762965
Embedding_60,0.0,-0.07931043
Embedding_59,0.0,-0.098674595
Embedding_58,0.0,0.06650153
Embedding_57,0.0,0.011399366
Embedding_56,0.0,0.048613537
Embedding_15,0.0,-0.0056805536
Embedding_53,0.0,0.023015244
Embedding_52,0.0,0.014983055
Embedding_51,0.0,0.16414845
Embedding_50,0.0,-0.029832192
Embedding_13,0.0,-0.067306876
Embedding_48,0.0,0.00016606599
Embedding_559,0.0,0.019897416
Embedding_12,0.0,0.062322203
Embedding_557,0.0,0.061537564
Embedding_556,0.0,0.10990516
Embedding_576,0.0,0.10220755
Embedding_575,0.0,0.040029686
Embedding_573,0.0,0.12497831
Embedding_572,0.0,-0.08738476
Embedding_570,0.0,-0.1734495
Embedding_569,0.0,0.049712446
Embedding_568,0.0,-0.0030207154
Embedding_11,0.0,0.054728508
Embedding_564,0.0,-0.06641826
Embedding_563,0.0,0.071350016
Embedding_562,0.0,0.039715044
Embedding_561,0.0,0.15600076
Embedding_560,0.0,-0.052483417
Embedding_63,0.0,-0.044967793
Embedding_62,0.0,-0.0487506
Embedding_61,0.0,-0.229534
Embedding_593,0.0,-0.046784446
Embedding_592,0.0,0.0669148
Embedding_591,0.0,0.009815361
Embedding_590,0.0,0.019647766
Embedding_10,0.0,-0.07454695
Embedding_9,0.0,-0.05029212
Embedding_8,0.0,0.042468984
Embedding_586,0.0,0.08769489
Embedding_585,0.0,0.030253906
Embedding_7,0.0,0.02136229
Embedding_583,0.0,-0.031119522
Embedding_582,0.0,0.051932223
Embedding_581,0.0,0.17078954
Embedding_580,0.0,0.008751169
Embedding_579,0.0,0.07742298
Embedding_577,0.0,-0.07060571
Embedding_615,0.0,-0.09309691
Embedding_614,0.0,0.0714992
Embedding_613,0.0,0.0532944
Embedding_168,0.0,0.07187228
Embedding_611,0.0,0.015282773
Embedding_610,0.0,0.067237616
Embedding_608,0.0,-0.020538263
Embedding_607,0.0,-0.048419543
Embedding_606,0.0,-0.036437444
Embedding_605,0.0,0.073434934
Embedding_604,0.0,-0.05143647
Embedding_603,0.0,0.009685554
Embedding_167,0.0,-0.05748809
Embedding_600,0.0,-0.06908558
Embedding_596,0.0,-0.06137292
Embedding_595,0.0,-0.16035451
Embedding_634,0.0,-0.009938572
Embedding_166,0.0,0.016261965
Embedding_632,0.0,0.036640964
Embedding_165,0.0,-0.00747298
Embedding_630,0.0,-7.745996e-05
Embedding_163,0.0,-0.010389119
Embedding_628,0.0,0.06387296
Embedding_161,0.0,0.009224433
Embedding_160,0.0,0.1626165
Embedding_622,0.0,0.16407818
Embedding_621,0.0,0.030971877
Embedding_620,0.0,0.05220291
Embedding_619,0.0,0.103079036
